index,img,brand,model_name,inline_fan_size_l,inline_fan_size_w,inline_fan_size_h,fan_duct_size_in,power_cord_length_m,controller_connection,controller_type,cord_length_to_controller_m,maximum_airflow_cfm,noise_level_dba,fan_speed_rpm,input_voltage_low,input_voltage_high,frequency_low_hz,frequency_high_hz,wattage,ingress_protection,carbon_filter_size_l,carbon_filter_size_w,duct_opening_sizes_in,carbon_filter_grade,carbon_filter_material,ducting_size_in,ducting_length_ft,affiliate_link,price,last_verified
i-0001,fan-img\vivosun-g4.jpg,Vivosun,AeroZesh G4 Inline Duct Fan Kit,11.6,8,6.7,4,1.8,digital,GrowHub E42A+,3,195,39,2600,100,240,50,60,20,IP44,11.8,6.9,4,1200+ IAV,Aluminum,4,8,https://amzn.to/4xGS6i6,$179.99 ,8/16/2026
i-0002,fan-img\vivosun-g6.jpg,Vivosun,AeroZesh G6 Inline Duct Fan Kit,11.6,8,6.7,6,1.8,digital,GrowHub E42A+,3,388,45,2500,100,240,50,60,35,IP44,15.7,8.9,6,1200+ IAV,Aluminum,6,8,https://amzn.to/3Sa6eSa,169.99,8/16/2026
i-0003,fan-img\vivosun-g8.jpg,Vivosun,AeroZesh G8 Inline Duct Fan Kit,11.6,8,6.7,8,1.8,digital,GrowHub E42A+,3,725,51,3000,100,240,50,60,78,IP44,19.7,10.9,8,1200+ IAV,Aluminum,8,25,https://amzn.to/4ge1FhD,239.99,8/16/2026
i-0004,fan-img\vivosun-t4.jpg,Vivosun,AeroZesh T4 Inline Duct Fan Kit,11.6,8,6.7,4,2,digital,GrowHub E42A+,3,210,28,3000,110,240,50,60,20,IP44,11.8,6.9,4,1200+ IAV,Aluminum,4,8,https://amzn.to/4qmmxrx,169.99,8/16/2026
i-0005,fan-img\vivosun-t6.jpg,Vivosun,AeroZesh T6 Inline Duct Fan Kit,11.6,8,6.7,6,2,digital,GrowHub E42A+,3,408,32,3000,110,240,50,60,35,IP44,15.7,8.9,6,1200+ IAV,Aluminum,6,8,https://amzn.to/3UAzS3C,199.99,8/16/2026
i-0006,fan-img\vivosun-t8.jpg,Vivosun,AeroZesh T8 Inline Duct Fan Kit,11.6,8,6.7,8,2,digital,GrowHub E42A+,3,832,45,3250,110,240,50,60,75,IP44,19.7,10.9,8,1200+ IAV,Aluminum,8,25,https://amzn.to/3SBxedm,249.99,8/16/2026
i-0007,fan-img\ac-infinity-4.jpg,AC Infinity," Air Filtration Kit 4""",7.48,11.89,6.93,4,1.8,knob,speed,1.8,165,29,2800,100,240,50,60,35,IP44,13.35,6.97,4,1200+ IAV,Aluminum,4,25,https://amzn.to/4g1GY9S,159,8/16/2026
i-0008,fan-img\ac-infinity-4-pro.jpg,AC Infinity,"Air Filtration Kit PRO 4""",7.48,11.89,6.93,4,1.8,digital,speed,1.8,205,29,2800,100,240,50,60,28,IP44,13.35,6.97,4,1200+ IAV,Aluminum,4,25,https://amzn.to/4gdOLzY,229,8/16/2026
i-0009,fan-img\ac-infinity-6.jpg,AC Infinity,"Air Filtration Kit 6""",7.87,12.6,8.35,6,1.8,knob,speed,1.8,352,34,2800,100,240,50,60,65,IP44,15.97,8.93,6,1200+ IAV,Aluminum,6,25,https://amzn.to/4bSF0WQ,219,8/16/2026
i-0010,fan-img\ac-infinity-6-pro.jpg,AC Infinity,"Air Filtration Kit PRO 6""",7.87,12.6,8.35,6,1.8,digital,speed,1.8,402,34,2800,100,240,50,60,70,IP44,15.97,8.93,6,1200+ IAV,Aluminum,6,25,https://amzn.to/3SG3HPL,289,8/16/2026
i-0011,fan-img\ac-infinity-8.jpg,AC Infinity,"   Air Filtration Kit 8""",12.2,10,9.37,8,1.8,knob,speed,1.8,724,42,2800,100,240,50,60,190,IP44,19.8,10.94,8,1200+ IAV,Aluminum,8,25,https://amzn.to/3Sce6Ta,299,8/16/2026
i-0012,fan-img\ac-infinity-8-pro.jpg,AC Infinity,"Air Filtration Kit PRO 8""",8.54,11.89,9.17,8,1.8,digital,speed,1.8,807,39,2800,100,240,50,60,78,IP44,19.8,10.94,8,1200+ IAV,Aluminum,8,25,https://amzn.to/4zqiL4I,359,8/16/2026
i-0013,fan-img\mars-hydro-2-in-1.jpg,Mars Hydro,2-In-1 Ventilation System,21.42,12.48,9.92,6,,digital,MarsPro APP,,305,56,3750,100,240,50,60,48,,,,6,,,6,,https://amzn.to/4wuUNSY,169.99,8/16/2026
i-0014,fan-img\mars-hydro-4.jpg,Mars Hydro,4-Inch Inline Duct Fan,11.9,6.4,3.8,4,,knob,MarsPro APP,,205,26.8,3000,110,240,50,60,27,IP44,,,4,1200+ IAV,,4,,https://amzn.to/3SE6EjM,129.99,8/16/2026
i-0015,fan-img\mars-hydro-6.jpg,Mars Hydro,6-Inch Inline Duct Fan,12.3,8.2,5.8,6,,knob,MarsPro APP,,402,32,3000,110,240,50,60,62,IP44,,,6,1200+ IAV,,6,,https://amzn.to/4clbiKc,179.99,8/16/2026
i-0016,fan-img\mars-hydro-4-ifresh.jpg,Mars Hydro,iFresh 4-Inch Inline Duct Fan,11.9,6.4,3.8,4,,digital,MarsPro APP,,205,26.8,3000,110,240,50,60,27,IP44,,,4,1200+ IAV,,4,,https://amzn.to/3SxO6Sl,149.99,8/16/2026
i-0017,fan-img\mars-hydro-6-ifresh.jpg,Mars Hydro,iFresh 6-Inch Inline Duct Fan,12.3,8.2,5.8,6,,digital,MarsPro APP,,402,32,3000,110,240,50,60,62,IP44,,,6,1200+ IAV,,6,,https://amzn.to/4cnn7zu,199.99,8/16/2026
