item,name,size,affiliate_code
seeds,42 Fast Buds,,https://2fast4buds.com/?af=329747
seeds,Alchimia,,https://www.alchimiaweb.com/en/seeds_selector.php?aff=B629EF277A86A59A24269BC9AA256704FC7481CE
seeds,Amsterdam Seed Center,,https://www.amsterdamseedcenter.com/en/cannabis-seeds?affiliate_code=F8ezyFcOGg&referring_service=link
seeds,Canuk Seeds,,https://www.canukseeds.com?a_id=bi0c19wc2xc8u
seeds,FreeWorld Genetics,,https://freeworldseedvault.com/affiliates/?_se=bG95YWw5Y2FubmFiaXNAZ21haWwuY29t&v=0b3b97fa6688
seeds,Herbies Seeds,,https://herbiesheadshop.com/?utm_source=loyal9&utm_medium=people&utm_campaign=loyal9_partner&a_aid=loyal9&a_bid=83818890
seeds,ILGM,,https://ilgm.com/?aff=7215
seeds,Mass Hydro,,https://mass-hydro.com?sca_ref=11547740.l5DDc4X4smj
seeds,Nirvana Seeds,,https://nirvanashop.com/?ref=LOYAL9
seeds,Original Sensible Seeds,,https://originalsensible.com/?acc=XEZBsayl4vfGi~tHw4H4
seeds,Royal Queen Seeds,,https://www.royalqueenseeds.com/?utm_source=postaffiliatepro&utm_medium=affiliate&utm_campaign=test&a_aid=36694750
seeds,Seedsman,,https://www.seedsman.com/us-en/cannabis-seed-breeders?a_aid=6675f1c3ce128
seeds,True North Seedbank,,https://www.truenorthseedbank.com?a_id=bi0c19wc2xc8u
light,Spider Farmer SF2000,2X4,https://amzn.to/3QzVlIu
medium,Rapid Rooter Plugs,50 Count,https://amzn.to/4adt6G7
pesticide|insecticide|fungicide,Lost Coast Plant Therapy,12 oz,https://amzn.to/4vrQAzS
pesticide|insecticide|fungicide,Lost Coast Plant Therapy,32 floz,https://amzn.to/4w4tOy4
pesticide|insecticide|fungicide,Lost Coast Plant Therapy,1 Gallon,https://amzn.to/4ewVm7V
nutrient,GH Flora Series,16oz,https://amzn.to/4xGnxdq
light,VIPARSPECTRA XS1500,2X2,https://amzn.to/4eSEppL
tent,VIVOSUN Grow Tent,4X8,https://amzn.to/4euwihP
hydroponics,VIVOSUN DWC Hydroponics Grow System,5 Gallon|4 Buckets|Top Drip,https://amzn.to/3QB1ynx
soil,FoxFarm Ocean Forest,12 Quartz,https://amzn.to/4fWsmZN
light,Grower's Choice ROI-E720,4X4,https://amzn.to/4xKgoZG
