index,dba,make,make_slug,model,model_slug,light_type,spectrum_type,spectrum_description,PPF,efficacy_umol_joule,Hz_low,Hz_high,VAC_low,VAC_high,max_Watts,flowering_footprint_length_ft,flowering_footprint_width_ft,veg_footprint_length_ft,veg_footprint_width_ft,flowering_mounting_height_min_inches,flowering_mounting_height_max_inches,veg_mounting_height_min_inches,veg_mounting_height_max_inches,Thermal Management,max_ambient_temperature_c,max_ambient_temperature_f,dimmable,dimming_options,dimensions_length_inches,dimensions_width_inches,dimensions_height_inches,weight_lb,lifespan_hours,Warranty_years,Certifications,price,pdf,img,url,affiliate_url,data_timestamp
L-0001,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 750 FS,hlg-750-fs,LED,Full,Full Spectrum (FS),1906,2.74,50,60,120,277,730,5,5,6,6,15,24,36,36,Passive,40,104,TRUE,"0-10V Dimmable, RJ11 Straight, Wireless",37.5,27.125,3.75,20.25,,5,"UL 8800, UL 1598, CSA",999,hlg-750-fs.pdf,hlg-750-fs.png,https://horticulturelightinggroup.com/collections/lamps/products/hlg-750-fs,,2026-07-07
L-0002,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 750 Diablo ES,hlg-750-diablo-es,LED,Full,Enhanced Spectrum (ES),2089,2.86,50,60,120,277,730,5,5,6,6,15,24,36,36,Passive,40,104,TRUE,"0-10V Dimmable, RJ11 Straight, Wireless",37.5,27.125,3.75,20.25,,5,"UL 8800, UL 1598, Certified to CSA Std C22.2#250.0",999,hlg-750-diablo-es.pdf,hlg-750-diablo-es.png,https://horticulturelightinggroup.com/collections/lamps/products/hlg-750-diablo-es,,2026-07-07
L-0003,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 750 Diablo X,hlg-750-diablo-x,LED,Full,Plant-centric White spectrum with Deep Red. Red:Green:Blue ratio of 48:32:20,2105,2.95,50,60,120,277,715,5,5,6,6,15,24,36,36,Passive,40,104,TRUE,"0-10V Dimmable, RJ11 Straight, Wireless",37.5,27.125,3.75,20.25,,5,"UL 8800, UL 1598, Certified to CSA Std C22.2#250.0",999,hlg-750-diablo-x.pdf,hlg-750-diablo-x.png,https://horticulturelightinggroup.com/collections/lamps/products/hlg-750-diablo-x,,2026-07-07
L-0004,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 225 Diablo X,hlg-225-diablo-x,LED,Full,White and Deep Red,630,2.8,50,60,90,277,225,3,3,4,4,12,18,18,24,Passive,40,104,TRUE,Manual Dimming 10% - 100% Intensity,26,10,2.75,,,1,,299,hlg-225-diablo-x.pdf,hlg-225-diablo-x.png,https://horticulturelightinggroup.com/collections/lamps/products/hlg-225-diablo-x,,2026-07-07
L-0005,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 750 Diablo,hlg-750-diablo,LED,Full,Plant-centric White spectrum with Deep Red. Red:Green:Blue ratio of 42:37:21,,2.86,50,60,120,277,730,5,5,6,6,15,24,36,36,Passive,40,104,TRUE,"0-10V Dimmable, RJ11 Straight, Wireless",37.5,27.125,3.75,20.25,,5,"	UL 8800, UL 1598, CSA",999,hlg-750-diablo.pdf,hlg-750-diablo.png,https://horticulturelightinggroup.com/collections/lamps/products/hlg-750-diablo,,2026-07-07
L-0006,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 350 Diablo,hlg-350r,LED,Full,White and Deep Red,950,2.8,50,60,120,277,330,3,5,5,5,15,15,24,24,Passive,40,104,TRUE,"0-10V Dimmable, RJ11 Straight, Wireless",35,9.5,3.25,10,,5,"UL 8800, UL 1598, CSA, DLC",549,hlg-350r.pdf,hlg-350r.png,https://horticulturelightinggroup.com/products/hlg-350r,,2026-07-07
L-0007,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 100 Rspec®,hlg-100-rspec,LED,Full,176 Samsung LM301H LED’s & 4 LH351H V2 Deep Red 660nm,220,2.41,50,60,90,264,95,2,2,3,3,12,18,18,24,Passive,40,104,FALSE,,12.75,11,2.5,3,,3,,149,hlg-100-rspec.pdf,hlg-100-rspec.png,https://horticulturelightinggroup.com/products/hlg-100-rspec,,2026-07-07
L-0008,HLG,Horticulture Lighting Group,horticulture_lighting_group,HLG 65 V2,hlg-65,LED,White,120 Samsung LM301H LEDs,152,2.35,50,60,90,264,65,,,2,2,12,18,12,18,Passive,40,104,FALSE,,11,9.5,2,1.75,,3,,99,hlg-65.pdf,hlg-65.img,https://horticulturelightinggroup.com/products/hlg-65,,2026-07-07
L-0009,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,AG-140HW,ag140-full-phase,LED,Full,"LED Full Spectrum available in 3K or 
red-enhanced spectrum options",420,3,50,60,277,480,140,,,,,12,18,18,24,Passive,40,104,FALSE,,44.4,3.55,3.21,4.85,50000,5,IP66,250,ag140-full-phase.pdf,ag140-full-phase.png,https://www.growersc.com/product/ag140-full-phase,,2026-07-07
L-0010,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,AG-140HR,ag140-red-enhanced,LED,R80,"LED R80 available in 3K or 
red-enhanced spectrum options",455,3.25,50,60,277,480,140,,,,,12,18,18,24,Passive,40,104,TRUE,0-10V,44.4,3.55,3.21,4.85,50000,5,IP66,260,ag140-red-enhanced.pdf,ag140-red-enhanced.png,https://www.growersc.com/product/ag140-red-enhanced,,2026-07-07
L-0011,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,PFS-Series,pfs-series,LED,Full,GC-3K Full Phase,100,2.5,50,60,277,480,40,,,,,12,18,18,24,Passive,40,104,,,47.2,5.1,1.5,2.2,54000,3,"IP65, ETL, CE",460,pfs-series.pdf,pfs-series.png,https://www.growersc.com/product/pfs-series-led-grow-light,,2026-07-07
L-0012,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,ROI-F720,roi-f720,LED,Full,Full Phase,2160,3,50,60,208,277,720,,,,,6,20,24,36,Passive,40,104,TRUE,0-10V,42.4,41.3,2.05,14.33,50000,5,,1099,roi-f720.pdf,roi-f720.png,https://www.growersc.com/product/roi-f720,,2026-07-07
L-0013,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,ROI-FF,roi-ff,LED,Full,GC-3K Full Phase,1950,3,50,60,108,480,650,,,,,6,24,18,24,Passive,40,104,TRUE,0-10V,45,44,4.2,22,54000,5,"IP65, ETL, CE, DLC",1099,roi-ff.pdf,roi-ff.png,https://www.growersc.com/product/roi-ff,,2026-07-07
L-0014,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,ROI-FV,roi-fv,LED,Full,GC-5KF,928,2.9,50,60,277,480,320,,,,,12,18,18,24,Passive,40,104,TRUE,0-10V & Step Dimming,45,22,4.2,20,54000,5,"IP65, ETL, CE, DLC",699,roi-fv.pdf,roi-fv.png,https://www.growersc.com/product/roi-fv,,2026-07-07
L-0015,Grower's Choice,Grower's Choice Horticultural Lighting,growers_choice_horticultural_lighting,TSL-800,tsl-800,LED,Full,GC-3KF Bloom Phase,2400,3,50,60,220,220,800,,,,,48,60,18,24,Passive,40,104,TRUE,0-10V & Step Dimming,21.2,16.1,11,32,36000,5,"UL, CE, DLC",1199,tsl-800.pdf,tsl-800.png,https://www.growersc.com/product/tsl-800,,2026-07-07
L-0016,Gavita,Gavita Horticultural Lighting,gavita_horticultural_lighting,LED Clone Bar,gavita-clone-bar,LED,Full,LIGHT DISTRIBUTION: 120°,,,50,60,120,277,18,,,,,12,18,18,24,Passive,40,104,FALSE,,44.09,1.15,1.46,0.835,,5,Conforms to ANSI/UL STD 1598. Certified to CSA STD C22.2 No. 250.0. Conforms to ANSI/CAN/UL STD 8800. cETLus Listed.,80,gavita-clone-bar.pdf,gavita-clone-bar.png,https://gavita.com/products/gavita-clone-bar,,2026-07-07
